title,artist,url,genre,language,year
Sunflower,Post Malone,https://www.youtube.com/watch?v=r7Rn4ryE_w8,,,2018
Savannah,Diviners,https://www.youtube.com/watch?v=p7EMW0GK7NE,,,2016
Drown,Kovic,https://www.youtube.com/watch?v=PjKfloSky9Q,,,2018
Ritual,Wrabel,https://www.youtube.com/watch?v=NZmJoo5-MQo,,,2017
Forever,Martin Garrix,https://www.youtube.com/watch?v=fSQ85nHRXw8,,,2017
Everything I Need,Skylar Grey,https://www.youtube.com/watch?v=9wjHXqf46aM,,,2019
Something For Your M.I.N.D.,Superorganism,https://www.youtube.com/watch?v=zx5hAeDfplw,,,2018
Stay With Me,Akcent,https://www.youtube.com/watch?v=IaOqyrOmuaI,,,2020
Girls Like You,Maroon 5,https://www.youtube.com/watch?v=D2mlCmROm2M,,,2018
Here for You,Kygo,https://www.youtube.com/watch?v=_MZoiKnLj3U,,,2015
One Thing,One Direction,https://www.youtube.com/watch?v=mpdIaUzG1RQ,,,2017
Dilnawaz,The Local Train,https://www.youtube.com/watch?v=bwSR5uFWNMw,,,2018
Aaftaab,The Local Train,https://www.youtube.com/watch?v=vloAengVG7E,,,2017
Mere Yaar,The Local Train,https://www.youtube.com/watch?v=yuiUwsBm76I,,,2018
A Different Way,DJ Snake,https://www.youtube.com/watch?v=H8cce0_kPg0,,,2020
Anginnat Sapney,Vaibhav Bundhoo,https://www.youtube.com/watch?v=X97W0-iVbfY,,,2017
Tune Kaha,Prateek Kuhad,https://www.youtube.com/watch?v=cMOPAD7KrbM,,,2016
Daak Ticket,Mohit Chauhan,https://www.youtube.com/watch?v=pbiqOCpVftM,,,2015
Brooklyn Baby,Lana Del Rey,https://www.youtube.com/watch?v=ntZONYzAMCo,,,2018
Emptiness,Slushii,https://www.youtube.com/watch?v=c6aSTjpe2h4,,,2020
Fireflies,Owl City,https://www.youtube.com/watch?v=KWLGyeg74es,,,2018
The Bird And The Worm,Owl City,https://www.youtube.com/watch?v=3maI_YJJQbI,,,2018
Sun Is Shining,Axwell,https://www.youtube.com/watch?v=7e-A7y9WesI,,,2018
Tu Hi Mera,Shafaqat Amanat Ali,https://www.youtube.com/watch?v=LrGbCkI8hOg,,,2014
Jee Le Zaraa,Vishal Dadlani,https://www.youtube.com/watch?v=Nzm7bdT8x_g,,,2014
Kahin To,Vasundhara Das,https://www.youtube.com/watch?v=HWpZ_rOe_f0,,,2015
Carry On,Kygo,https://www.youtube.com/watch?v=IPLSS0bnsEU,,,2019
I Still Recall,Slushii,https://www.youtube.com/watch?v=2RuCe9RpAg0,,,2017
Fursat,Arjun Kanungo,https://www.youtube.com/watch?v=dSzMdViHbSk,,,2017
Aaya Na Tu,Arjun Kanungo,https://www.youtube.com/watch?v=AjQzgbVYUjw,,,2018
Pakeezah,Gulraj Singh,https://www.youtube.com/watch?v=CGLofayJvLQ,,,2015
No Sleep (feat. Bonn),Martin Garrix,https://www.youtube.com/watch?v=06rgaTpTji0,,,2019
Har Kisi Ko,Nikhil D'Souza,https://www.youtube.com/watch?v=UzpDski-XTE,,,2015
"Shukran Allah (From ""Kurbaan"")",Salim Sulaiman,https://www.youtube.com/watch?v=vbW_zqQVZE0,,,2018
Aye Khuda,Salim Merchant,https://www.youtube.com/watch?v=qO4qS1U6gbc,,,2017
Hale Dil,Harshit Saxena,https://www.youtube.com/watch?v=BLNHOgy_HCI,,,2014
Marry You (Cover of Bruno Mars),Glee Cast,https://www.youtube.com/watch?v=1ihcvjZ5HMQ,,,2017
Work from Home,Fifth Harmony,https://www.youtube.com/watch?v=c5l4CGQozWY,,,2016
Memories (Episode 05),Nucleya,https://www.youtube.com/watch?v=60MevGHS2Wo,,,2016
Titanium (feat. Sia),David Guetta,https://www.youtube.com/watch?v=7ErChO0PTbA,,,2021
They Ran Away,Vaibhav Bundhoo,https://www.youtube.com/watch?v=WpG6YLTiE7E,,,2019
Starboy,The Weeknd,https://www.youtube.com/watch?v=plnfIj7dkJE,,,2018
PHIR KABHI,Arijit Singh,https://www.youtube.com/watch?v=HwJsSAT6wBg,,,2017
Morni Banke,Guru Randhawa,https://www.youtube.com/watch?v=mDeToJRzm7o,,,2018
KHALI SALAM DUA,Mohit Chauhan,https://www.youtube.com/watch?v=GdLHO0X24eI,,,2015
Boys In The Street,Seeb,https://www.youtube.com/watch?v=X3zEezKN_eY,,,2018
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,https://www.youtube.com/watch?v=M3G1Y7VL200,,,2019
Main Bola Hey!,Karthik Rao,https://www.youtube.com/watch?v=a2yxlk6ltMc,,,2019
Zavaan Afeemi,Sudipta Sekhar Malakar,https://www.youtube.com/watch?v=rmgXxsFY9GA,,,2022
If I Lose Myself,OneRepublic,https://www.youtube.com/watch?v=KdZ5-vrAH6Q,,,2018
Toura Toura (The Nav Deep Remix),DJ Cheb I Sabbah,https://www.youtube.com/watch?v=csL8eJOYaxw,,,2017
L'hiver Indien,Gael Faye,https://www.youtube.com/watch?v=pcJnWZ69yqE,,,2019
I Knew You Were Trouble.,Taylor Swift,https://www.youtube.com/watch?v=VmBoTeLsKfs,,,2018
Didi,Khaled,https://www.youtube.com/watch?v=0wKDpjXcIUE,,,2015
What Is Love (feat. Camishe),Max Oazo,https://www.youtube.com/watch?v=sefqTmVyyB8,,,2018
Dancing In The Moonlight,King Harvest,https://www.youtube.com/watch?v=yNtMAkS1NHI,,,2018
Bad Liar,Imagine Dragons,https://www.youtube.com/watch?v=I203G1sMGDg,,,2018
She Will Be Loved (Radio Mix),Maroon 5,https://www.youtube.com/watch?v=yfd_d0m46q0,,,2018
SeÃ±orita,Shawn Mendes,https://www.youtube.com/watch?v=VKC_hzJ3jzg,,,2019
Papercut,Zedd,https://www.youtube.com/watch?v=q6--xv2c3Dw,,,2018
Burn,Ellie Goulding,https://www.youtube.com/watch?v=lFX_15NRpmw,,,2018
Who Let The Dogs Out,Baha Men,https://www.youtube.com/watch?v=KYgK97aioNA,,,2017
Giant,Calvin Harris,https://www.youtube.com/watch?v=E55WQGiVKko,,,2019
[Everything I Do] I Do It For You,Bryan Adams,https://www.youtube.com/watch?v=7u-L243mzfI,,,2018
Stay Here Tonight,Enrique Iglesias,https://www.youtube.com/watch?v=n2rWU6BbHsI,,,2018
RAAT BHAR,Arijit Singh,https://www.youtube.com/watch?v=VrIf8Rxssgc,,,2017
"Mukhtasar (From ""Teri Meri Kahaani"")",Wajid Ali,https://www.youtube.com/watch?v=_2CpD4ND9xk,,,2021
Perfect Ending,Vaibhav Bundhoo,https://www.youtube.com/watch?v=62JKQbZpMVU,,,2019
Ain't No Sunshine,Bill Withers,https://www.youtube.com/watch?v=8jjbhrR15Y8,,,2017
Sage,Ritviz,https://www.youtube.com/watch?v=bFp0sX1lswk,,,2021
What Do You Mean?,Justin Bieber,https://www.youtube.com/watch?v=DcDbKDAb7go,,,2018
Fuego,DJ Snake,https://www.youtube.com/watch?v=FuC50pYSUpc,,,2019
Save Yourself,Vanic,https://www.youtube.com/watch?v=_9Qrbd1ux54,,,2019
Malibu,Miley Cyrus,https://www.youtube.com/watch?v=_8FmUlp9rm4,,,2017
"fuck, iâ€™m lonely",Lauv,https://www.youtube.com/watch?v=FU3IoY4OS34,,,2020
Good Things Fall Apart,ILLENIUM,https://www.youtube.com/watch?v=xGvGns3wp_I,,,2019
Sweet Liar,Mia Vaile,https://www.youtube.com/watch?v=4t9mrN9rzRs,,,2019
Don't Let Me Down,The Chainsmokers,https://www.youtube.com/watch?v=CpTr4USXjQw,,,2017
Tired,Alan Walker,https://www.youtube.com/watch?v=9DyTU26FQlk,,,2017
Ik Mulaqaat,Meet Bros.,https://www.youtube.com/watch?v=jLHyFkCKEzg,,,2019
Mere Rashke Qamar,Nusrat Fateh Ali Khan,https://www.youtube.com/watch?v=N1hRTwBziwc,,,2017
River,Eminem,https://www.youtube.com/watch?v=HwufgZIXPTY,,,2022
Rasta Jahaan Le Chale,Papon,https://www.youtube.com/watch?v=c6riJnK_AVs,,,2019
Sham,Amit Trivedi,https://www.youtube.com/watch?v=VOFm2oB8t98,,,2015
Sajde,Arijit Singh,https://www.youtube.com/watch?v=hLvjMLNjahQ,,,2019
Memories,Maroon 5,https://www.youtube.com/watch?v=lNilb-EaTOU,,,2021
Nakhriley,Shankar Mahadevan,https://www.youtube.com/watch?v=ZNPVYd5OD7Q,,,2019
Baatein Kuch Ankahee,Adnan Sami,https://www.youtube.com/watch?v=9zk5Lu2n4o4,,,2014
Pyaasi,Swarathma,https://www.youtube.com/watch?v=AXL_Eivw2ZY,,,2014
O Bekhabar,Shreya Ghoshal,https://www.youtube.com/watch?v=1wEtmB3z_yc,,,2011
Night Changes,One Direction,https://www.youtube.com/watch?v=8BiLurrzFRw,,,2015
Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=bSnlKl_PoQU,,,2018
Pyar Hamen Kis Mod Pe,Kishore Kumar,https://www.youtube.com/watch?v=0mXqRqASqhY,,,2018
Ajnabee,Bhuvan Bam,https://www.youtube.com/watch?v=W_Twy_1hPvg,,,2020
Teri Meri Kahani,Bhuvan Bam,https://www.youtube.com/watch?v=55ETPyNEgY0,,,2016
It's Not This,Bearson,https://www.youtube.com/watch?v=e_nbW2fX_9A,,,2018
Ritual,Tiesto,https://www.youtube.com/watch?v=nmlzCmic34Y,,,2020
Dil Chahta Hai,Shankar Mahadevan,https://www.youtube.com/watch?v=KayWQCbGirU,,,2015
"Naah Goriye (From ""Bala"")",B Praak,https://www.youtube.com/watch?v=sScWpdG7DK8,,,2019
Dil Beparvah,Ankur Tewari,https://www.youtube.com/watch?v=2N8_XDPW67Q,,,2017
Tum Se Hi,Mohit Chauhan,https://www.youtube.com/watch?v=W2ZGfhSk35E,,,2010
Kabira,Tochi Raina,https://www.youtube.com/watch?v=MZkrcUzJANQ,,,2020
Blank Space/Stand By Me ,Imagine Dragons,https://www.youtube.com/watch?v=W49DFlBfass,,,2021
Promises,Calvin Harris,https://www.youtube.com/watch?v=X8JH6npiSC4,,,2018
Genius,LSD,https://www.youtube.com/watch?v=HCv86jWOsKc,,,2018
Old School,Urban Cone,https://www.youtube.com/watch?v=-jH-4oYS2h8,,,2018
Radioactive,Imagine Dragons,https://www.youtube.com/watch?v=R_BO8C05XLA,,,2018
SOS,Avicii,https://www.youtube.com/watch?v=CgiPuXwhhfY,,,2019
So Good,Stroke 9,https://www.youtube.com/watch?v=DRxGnfPqNo4,,,2020
Stan,Eminem,https://www.youtube.com/watch?v=HIqQ0PfuPo8,,,2018
Saibo,Sachin-Jigar,https://www.youtube.com/watch?v=JeiZTnRfrbM,,,2017
AGAR TUM SAATH HO,Arijit Singh,https://www.youtube.com/watch?v=FOA9iyxsW_A,,,2017
Pani Da Rang,Ayushmann Khurrana,https://www.youtube.com/watch?v=MVwf8EmGv8A,,,2021
Subhanallah,Sriram Chandra,https://www.youtube.com/watch?v=37JjGXBPIOM,,,2018
Jiyein Kyun,Papon,https://www.youtube.com/watch?v=szdRoROQy_c,,,2014
Mama Said,Lukas Graham,https://www.youtube.com/watch?v=p-014jHwYP4,,,2017
Summer Of '69 ,Bryan Adams,https://www.youtube.com/watch?v=QwvAtDybMJc,,,2018
Socha Na Tha,Shilpa Surroch,https://www.youtube.com/watch?v=7Wdor1bLPuc,,,2019
Everybody Knows,Sigrid,https://www.youtube.com/watch?v=iwGEX183sMk,,,2019
Sunshine Day,Osibisa,https://www.youtube.com/watch?v=pJ3rKjQpIVg,,,2021
Jamaica Farewell,Harry Belafonte,https://www.youtube.com/watch?v=aajSxr8nghE,,,2015
DUS BAHANE,Vishal - Shekhar,https://www.youtube.com/watch?v=AWhd6xrLtHM,,,2017
Astronomia,Vicetone,https://www.youtube.com/watch?v=A5wBk9946Ew,,,2017
Udd Gaye,Ritviz,https://www.youtube.com/watch?v=3jDQKquMXP4,,,2021
Liggi,Ritviz,https://www.youtube.com/watch?v=IBdBBpihZes,,,2021
Chalo Chalein,Ritviz,https://www.youtube.com/watch?v=eWUPrg3ECdc,,,2021
I Don't Care,Ed Sheeran,https://www.youtube.com/watch?v=7hDam9i-Aps,,,2019
PICK ME UP,Utkarsh Gupta,https://www.youtube.com/watch?v=p0DVP7YpSRM,,,2017
Ye Kya Hua Humain ,Vaibhav Bundhoo,https://www.youtube.com/watch?v=edT3EwBf5o8,,,2021
Hoth Rasiley,Anand Raj Anand,https://www.youtube.com/watch?v=cwmiq9Hk-Zo,,,2021
Billo Rani,Daler Mehndi,https://www.youtube.com/watch?v=aR-gfKozGyQ,,,2018
"Beedi (From ""Omkara"")",Sunidhi Chauhan,https://www.youtube.com/watch?v=Jnq_FONsBrs,,,2021
Kajra Re,Alisha Chinai,https://www.youtube.com/watch?v=9HzMR9abGAI,,,2019
Main Deewana,Ganesh Hegde,https://www.youtube.com/watch?v=bvJbwZ5PS8Q,,,2014
Yaara Teri Remix ,Darshan Raval,https://www.youtube.com/watch?v=uip5y51uRTY,,,2020
Locked Away,R-City,https://www.youtube.com/watch?v=4kfnDOlwJ8w,,,2020
For Aisha,MEMBA,https://www.youtube.com/watch?v=H8-yZ6kVLog,,,2019
Hoor,Atif Aslam,https://www.youtube.com/watch?v=kBP3QFMUTnY,,,2018
Teri Jhuki Nazar,Shafqat Amanat Ali,https://www.youtube.com/watch?v=yiJ5k2vBtlw,,,2014
Electric Love,Borns,https://www.youtube.com/watch?v=1T6r0OttdN0,,,2018
The Night We Met,Lord Huron,https://www.youtube.com/watch?v=fhLXgehFprw,,,2018
Freedom,Kygo,https://www.youtube.com/watch?v=Dakc03D0mRw,,,2020
Heal the World,Michael Jackson,https://www.youtube.com/watch?v=cyCMuCFCkdk,,,2015
We Are Young ,Fun.,https://www.youtube.com/watch?v=f_K_0SNaRk0,,,2017
Bombay Dreams (feat. Kavita Seth),KSHMR,https://www.youtube.com/watch?v=S4IUz0vM4G4,,,2019
My Heart Is Open,Maroon 5,https://www.youtube.com/watch?v=ku43Ue_Wv-U,,,2018
Play Date,Melanie Martinez,https://www.youtube.com/watch?v=tp8WZuJZh8o,,,2017
Bruk It Down (feat. TxTHEWAY),KSHMR,https://www.youtube.com/watch?v=1zzIR3-ljrA,,,2020
Where Is The Love?,The Black Eyed Peas,https://www.youtube.com/watch?v=fRY7qb4TnFA,,,2018
Love Stoned,Release,https://www.youtube.com/watch?v=JOuTsqrt52U,,,2020
Departure,Egzod,https://www.youtube.com/watch?v=0axExdh5GQc,,,2018
To Brazil!,Vengaboys,https://www.youtube.com/watch?v=ZxJkqYkne9Q,,,2020
Bolo Ta Ra Ra,Daler Mehndi,https://www.youtube.com/watch?v=JZgLUEGZp1s,,,2017
Tunak Tunak Tun,Daler Mehndi,https://www.youtube.com/watch?v=_T_MOxNGsks,,,2015
Zor Ka Jhatka,Daler Mehndi,https://www.youtube.com/watch?v=qcucgNV7Cmc,,,2011
Ho Jayegi Balle Balle,Daler Mehndi,https://www.youtube.com/watch?v=ZyhZf1qA-A0,,,2017
Till I Collapse,Eminem,https://www.youtube.com/watch?v=Obim8BYGnOE,,,2018
Lose Yourself,Eminem,https://www.youtube.com/watch?v=Wj7lL6eDOqc,,,2018
Lose Somebody,Kygo,https://www.youtube.com/watch?v=FW0QrmwXBaI,,,2020
Audio,LSD,https://www.youtube.com/watch?v=4mUPy84mdb0,,,2018
Pal Wahi Hai,Karthik Rao,https://www.youtube.com/watch?v=8yy3_8O4gyE,,,2019
Could You Love Me,Kygo,https://www.youtube.com/watch?v=Ndx2AeGxxrM,,,2020
Kasoor,Prateek Kuhad,https://www.youtube.com/watch?v=iAQcOfKO8CM,,,2020
Mi Gente,J Balvin,https://www.youtube.com/watch?v=3jykojMVxQI,,,2018
Mere Liye Tum Kaafi Ho,Aayushman Khurana,https://www.youtube.com/watch?v=_ybTzGoNRjw,,,2020
Not Afraid,Eminem,https://www.youtube.com/watch?v=oPJrq4Vxub4,,,2020
Superman,Eminem,https://www.youtube.com/watch?v=K_8yRH2KPVo,,,2018
Dil Mangdi,Mani Sidhu,https://www.youtube.com/watch?v=ClMZqihez_U,,,2022
Wake Me Up,Avicii,https://www.youtube.com/watch?v=2NiyrtYegso,,,2021
Under Pressure,Queen,https://www.youtube.com/watch?v=MkQK83Tf9so,,,2018
Forever,Chris Brown,https://www.youtube.com/watch?v=puFDYADwRyo,,,2020
Rude,MAGIC!,https://www.youtube.com/watch?v=3WzamI8QD2s,,,2017
Sanam Mere Sanam,Amit Kumar,https://www.youtube.com/watch?v=5bT_wITRcvw,,,2014
Starboy,The Weeknd,https://www.youtube.com/watch?v=plnfIj7dkJE,,,2018
You & Me,Marshmello,https://www.youtube.com/watch?v=SK01zcoX-XY,,,2017
Abhi Abhi,Kay Kay,https://www.youtube.com/watch?v=ZNSEQXAfzXI,,,2014
All Rise,Blue,https://www.youtube.com/watch?v=tvIn3xTNO9Y,,,2017
I Want It That Way,Backstreet Boys,https://www.youtube.com/watch?v=LwkrXybZ1uo,,,2017
Guncha,Mohit Chauhan,https://www.youtube.com/watch?v=zeO7kRvbzJg,,,2018
Let's Get It On,Marvin Gaye,https://www.youtube.com/watch?v=FnzUKC2tdjA,,,2018
Right Here Waiting,Richard Marx,https://www.youtube.com/watch?v=lADMS_rRuLc,,,2021
Every Breath You Take,The Police,https://www.youtube.com/watch?v=-SaUrDhp034,,,2019
Habit (Blood Cultures Remix),Cool Company,https://www.youtube.com/watch?v=4TEtsOQKWfM,,,2020
Tiny Dancer (Remastered),Elton John,https://www.youtube.com/watch?v=65CNtap6bow,,,2018
Comin' Home Baby,Mel Torme,https://www.youtube.com/watch?v=WBugBEWVnpA,,,2017
What Do You Love,Seeb,https://www.youtube.com/watch?v=IoaXqCPx_c4,,,2018
Heatwave (feat. Akon),Robin Schulz,https://www.youtube.com/watch?v=E-D4l-rGjLs,,,2017
Grip,Seeb,https://www.youtube.com/watch?v=ngdn4BmYO5o,,,2018
The Gambler,Kenny Rogers,https://www.youtube.com/watch?v=w4RvskuFnPY,,,2017
Something Stupid,Lola Marsh,https://www.youtube.com/watch?v=F8dKVbP1Nzo,,,2018
Kaise Hua,Vishal Mishra,https://www.youtube.com/watch?v=WKv07mnKVEE,,,2019
Night Nurse,Gregory Isaacs,https://www.youtube.com/watch?v=X7h3iUhTPZM,,,2018
Tu Ru Tu Ru Tu,Monail Thakur,https://www.youtube.com/watch?v=4sqxhngQ02Q,,,2015
Roz Roz,The Yellow Diary,https://www.youtube.com/watch?v=G8a1lz10H-Q,,,2021
ROCK ON!!,Farhan Akhtar,https://www.youtube.com/watch?v=2xGXDHeVaak,,,2015
Mr Blue (Radio Mix),Catherine Feeny,https://www.youtube.com/watch?v=djTc29pC1nQ,,,2014
Sweet Child O' Mine,Guns N' Roses,https://www.youtube.com/watch?v=oMfMUfgjiLg,,,2018
Aisay Kaisay,Hasan Raheem,https://www.youtube.com/watch?v=3pypDzth5ko,,,2020
Radioactive,Imagine Dragons,https://www.youtube.com/watch?v=tVdJLqFZ1xc,,,2018
Tu Behja,Shruti Pathak,https://www.youtube.com/watch?v=1FLoTVTY5wk,,,2025
Somewhere Only We Know,Keane,https://www.youtube.com/watch?v=0LuignGmX_0,,,2018
Hello,Martin Solveig,https://www.youtube.com/watch?v=4MKpUqLz82I,,,2023
